ISV_INDEX_1	IncreaseSmoothedValue
('ChargeEVs', 'Oahu', 3007070906)	0.0
('ChargeEVs', 'Oahu', 3007070908)	75.55452795688277
('ChargeEVs', 'Oahu', 3007070910)	0.0
('ChargeEVs', 'Oahu', 3007070912)	0.0
('ChargeEVs', 'Oahu', 3007070914)	0.0
('ChargeEVs', 'Oahu', 3007070916)	35.49386674409838
('ChargeEVs', 'Oahu', 3007070918)	0.0
('ChargeEVs', 'Oahu', 3007070920)	0.0
('ChargeEVs', 'Oahu', 3007070922)	57.86719974827521
('ChargeEVs', 'Oahu', 3007072100)	72.7431299095413
('ChargeEVs', 'Oahu', 3007072102)	27.515776781353537
('ChargeEVs', 'Oahu', 3007072104)	2.6965130935146817
('ChargeEVs', 'Oahu', 3007072106)	0.0
('ChargeEVs', 'Oahu', 3007072108)	34.704474079163404
('ChargeEVs', 'Oahu', 3007072110)	2.076979425323368
('ChargeEVs', 'Oahu', 3007072112)	0.0
('ChargeEVs', 'Oahu', 3007072114)	0.0
('ChargeEVs', 'Oahu', 3007072116)	26.263213967230893
('ChargeEVs', 'Oahu', 3007072118)	25.004330301827146
('ChargeEVs', 'Oahu', 3007072120)	0.0
('ChargeEVs', 'Oahu', 3007072122)	0.0
('ChargeEVs', 'Oahu', 3007082500)	40.59122185320845
('ChargeEVs', 'Oahu', 3007082502)	62.31035414924361
('ChargeEVs', 'Oahu', 3007082504)	102.63335935744814
('ChargeEVs', 'Oahu', 3007082506)	0.0
('ChargeEVs', 'Oahu', 3007082508)	81.66435355328693
('ChargeEVs', 'Oahu', 3007082510)	0.0
('ChargeEVs', 'Oahu', 3007082512)	0.0
('ChargeEVs', 'Oahu', 3007082514)	0.0
('ChargeEVs', 'Oahu', 3007082516)	33.87525441075478
('ChargeEVs', 'Oahu', 3007082518)	10.903570678033155
('ChargeEVs', 'Oahu', 3007082520)	0.0
('ChargeEVs', 'Oahu', 3007082522)	0.0
('ChargeEVs', 'Oahu', 3007121500)	85.75670867656572
('ChargeEVs', 'Oahu', 3007121502)	32.61292892535452
('ChargeEVs', 'Oahu', 3007121504)	2.100589828901464
