generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_Reg	2035-11-08-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-04-21-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-07-21-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-05-01-22:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-08-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-12-15-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-04-21-04:00	Oahu	0	182.122	0
Oahu_Battery_Conting	2045-07-09-02:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-12-05-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-04-21-16:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-12-18-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-19-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-05-01-04:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-07-27-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-09-10-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-05-17-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-10-03-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-11-08-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-12-18-04:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-04-21-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-07-27-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-10-03-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-07-21-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-07-27-02:00	Oahu	0	0	99.6484
Oahu_Battery_Bulk	2035-07-27-12:00	Oahu	64.0381	0	230.537
Oahu_Battery_Reg	2035-08-25-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-07-09-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-12-08-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-04-21-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-12-08-02:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-12-05-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-08-25-12:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-01-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-12-18-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-09-10-00:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-07-21-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-01-09-00:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-01-09-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-07-27-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-05-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-07-21-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-11-08-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-07-09-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-08-25-20:00	Oahu	0	199.994	100.203
Oahu_Battery_Conting	2035-07-27-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-01-09-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-01-09-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-07-27-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-07-27-04:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-05-17-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-12-18-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-05-01-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-10-03-22:00	Oahu	0	0	220.99
Oahu_Battery_Bulk	2040-09-10-04:00	Oahu	0	153.64	0
Oahu_Battery_Bulk	2045-12-18-14:00	Oahu	94.1875	0	169.537
Oahu_Battery_Bulk	2025-12-18-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-05-01-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-11-08-00:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-12-05-00:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-11-08-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-19-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-08-22:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-08-10:00	Oahu	70.8463	0	127.523
Oahu_Battery_Conting	2045-09-10-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-07-27-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-05-01-00:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-12-15-22:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-04-21-02:00	Oahu	0	0	364.245
Oahu_Battery_Conting	2035-07-27-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-04-21-12:00	Oahu	358.753	197.829	500.192
Oahu_Battery_Conting	2045-07-09-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-08-25-22:00	Oahu	0	0	359.67
Oahu_Battery_Conting	2040-07-27-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-01-09-00:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-07-27-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-07-21-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-08-25-08:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-09-10-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-11-08-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-09-10-06:00	Oahu	0	31.8404	0
Oahu_Battery_Reg	2035-12-18-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-05-01-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-10-03-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-18-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-11-08-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-12-19-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-05-01-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-08-25-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-01-09-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-10-03-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-15-02:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-11-08-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-15-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-07-27-10:00	Oahu	64.0381	0	115.269
Oahu_Battery_Reg	2045-07-09-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-05-01-18:00	Oahu	0	0	500.192
Oahu_Battery_Bulk	2020-12-05-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-12-05-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-15-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-08-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-09-10-10:00	Oahu	335.791	211.259	181.906
Oahu_Battery_Conting	2045-07-27-16:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-12-18-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-05-01-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-12-08-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-08-25-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-07-09-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-05-17-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-11-08-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-09-10-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-15-20:00	Oahu	0	48.6076	0
Oahu_Battery_Reg	2035-12-19-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-07-27-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-05-17-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-08-25-18:00	Oahu	0	0	500.192
Oahu_Battery_Reg	2025-07-27-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-01-09-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-01-09-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-12-18-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-12-19-18:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-07-21-20:00	Oahu	0	82.3643	335.464
Oahu_Battery_Reg	2025-11-08-12:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-10-03-04:00	Oahu	0	76.3474	173.675
Oahu_Battery_Bulk	2020-07-21-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-11-08-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-09-10-12:00	Oahu	58.9937	0	287.815
Oahu_Battery_Bulk	2025-05-01-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-05-17-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-19-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-19-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-05-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-12-19-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-09-10-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-08-25-16:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-05-01-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-05-01-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-11-08-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-04-21-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-18-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-04-21-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-01-20:00	Oahu	0	188.233	123.726
Oahu_Battery_Reg	2030-04-21-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-07-27-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-07-09-22:00	Oahu	0	52.6582	167.108
Oahu_Battery_Bulk	2025-12-15-08:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-07-09-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-08-25-04:00	Oahu	0	179.835	0
Oahu_Battery_Reg	2040-07-09-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-18-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-11-08-16:00	Oahu	0	0	500.192
Oahu_Battery_Reg	2045-07-21-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-05-01-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-12-18-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-05-17-04:00	Oahu	0	113.325	0
Oahu_Battery_Conting	2025-10-03-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-10-03-06:00	Oahu	0	120.658	0
Oahu_Battery_Reg	2020-10-03-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-12-18-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-05-17-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-19-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-08-25-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-01-09-08:00	Oahu	2.58766	0	4.65778
Oahu_Battery_Conting	2035-08-25-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-15-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-07-21-16:00	Oahu	358.753	197.829	500.192
Oahu_Battery_Conting	2035-07-09-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-15-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-07-09-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-08-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-19-18:00	Oahu	0	167.965	164.261
Oahu_Battery_Reg	2020-05-01-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-05-01-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-11-08-18:00	Oahu	0	118.313	263.566
Oahu_Battery_Reg	2030-09-10-00:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-07-27-02:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-09-10-20:00	Oahu	0	0	0
