STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_Bulk	3008120516	0.0
Oahu_Battery_Bulk	3008120518	0.0
Oahu_Battery_Bulk	3008120520	0.0
Oahu_Battery_Bulk	3008120522	0.0
Oahu_Battery_Bulk	3008120800	0.0
Oahu_Battery_Bulk	3008120802	0.0
Oahu_Battery_Bulk	3008120804	0.0
Oahu_Battery_Bulk	3008120806	0.0
Oahu_Battery_Bulk	3008120808	0.0
Oahu_Battery_Bulk	3008120810	0.0
Oahu_Battery_Bulk	3008120812	0.0
Oahu_Battery_Bulk	3008120814	0.0
Oahu_Battery_Bulk	3008120816	0.0
Oahu_Battery_Bulk	3008120818	0.0
Oahu_Battery_Bulk	3008120820	0.0
Oahu_Battery_Bulk	3008120822	0.0
Oahu_Battery_Bulk	3507051700	154.91359053625158
Oahu_Battery_Bulk	3507051702	118.44731018529185
Oahu_Battery_Bulk	3507051704	0.0
Oahu_Battery_Bulk	3507051706	0.0
Oahu_Battery_Bulk	3507051708	89.11402444710707
Oahu_Battery_Bulk	3507051710	191.88353619414693
Oahu_Battery_Bulk	3507051712	294.6530479411868
Oahu_Battery_Bulk	3507051714	397.42255968822667
Oahu_Battery_Bulk	3507051716	500.19207143526654
Oahu_Battery_Bulk	3507051718	500.19207143526654
Oahu_Battery_Bulk	3507051720	375.1577903100675
Oahu_Battery_Bulk	3507051722	250.1235091848685
Oahu_Battery_Bulk	3507070900	154.82181874931518
Oahu_Battery_Bulk	3507070902	152.84909397306262
Oahu_Battery_Bulk	3507070904	0.0
Oahu_Battery_Bulk	3507070906	0.0
Oahu_Battery_Bulk	3507070908	92.3417928109862
Oahu_Battery_Bulk	3507070910	201.03955728959352
Oahu_Battery_Bulk	3507070912	309.73732176820084
Oahu_Battery_Bulk	3507070914	411.1675954130749
Oahu_Battery_Bulk	3507070916	500.19207143526654
