FUEL_BASED_GEN_TPS_1	FUEL_BASED_GEN_TPS_2	StartupGenCapacityRenewable
Oahu_AES	3008042104	0.0
Oahu_AES	3008042106	0.0
Oahu_AES	3008042108	0.0
Oahu_AES	3008042110	0.0
Oahu_AES	3008042112	0.0
Oahu_AES	3008042114	0.0
Oahu_AES	3008042116	0.0
Oahu_AES	3008042118	0.0
Oahu_AES	3008042120	0.0
Oahu_AES	3008042122	0.0
Oahu_AES	3008050100	0.0
Oahu_AES	3008050102	0.0
Oahu_AES	3008050104	0.0
Oahu_AES	3008050106	0.0
Oahu_AES	3008050108	0.0
Oahu_AES	3008050110	0.0
Oahu_AES	3008050112	0.0
Oahu_AES	3008050114	0.0
Oahu_AES	3008050116	0.0
Oahu_AES	3008050118	0.0
Oahu_AES	3008050120	0.0
Oahu_AES	3008050122	0.0
Oahu_AES	3008072700	0.0
Oahu_AES	3008072702	0.0
Oahu_AES	3008072704	0.0
Oahu_AES	3008072706	0.0
Oahu_AES	3008072708	0.0
Oahu_AES	3008072710	0.0
Oahu_AES	3008072712	0.0
Oahu_AES	3008072714	0.0
Oahu_AES	3008072716	0.0
Oahu_AES	3008072718	0.0
Oahu_AES	3008072720	0.0
Oahu_AES	3008072722	0.0
Oahu_AES	3008091000	0.0
Oahu_AES	3008091002	0.0
Oahu_AES	3008091004	0.0
Oahu_AES	3008091006	0.0
Oahu_AES	3008091008	0.0
Oahu_AES	3008091010	0.0
Oahu_AES	3008091012	0.0
Oahu_AES	3008091014	0.0
Oahu_AES	3008091016	0.0
Oahu_AES	3008091018	0.0
Oahu_AES	3008091020	0.0
Oahu_AES	3008091022	0.0
Oahu_AES	3008100300	0.0
Oahu_AES	3008100302	0.0
Oahu_AES	3008100304	0.0
Oahu_AES	3008100306	0.0
Oahu_AES	3008100308	0.0
Oahu_AES	3008100310	0.0
Oahu_AES	3008100312	0.0
Oahu_AES	3008100314	0.0
Oahu_AES	3008100316	0.0
Oahu_AES	3008100318	0.0
Oahu_AES	3008100320	0.0
Oahu_AES	3008100322	0.0
Oahu_AES	3008110800	0.0
